Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Status,SupportStrength,MatchCount,MatchExamples,Definitions,ExampleSentence,JmDictWordId
先生,せんせい,214,309,3,supported_exact,1,1,pokemon-scarlet-violet:term:先生(せんせい) via entry/front exact,"teacher,instructor,master,sensei,title or form of address for a teacher, master, doctor, lawyer, etc.,intimate or teasing form of address,one's elder",正直に書いてもらえるとジニア**先生**は大よろこびです使いやすいです！,1387990
勝負,しょうぶ,206,1018,1,supported_exact,1,1,pokemon-scarlet-violet:term:勝負(しょうぶ) via entry/front exact,"victory or defeat,match,contest,game,bout,showdown",がもっともっともと強くなってさいっぱいいぱい**勝負**できたらうれしいな！,1346230
学校,がっこう,151,648,0,supported_exact,1,1,pokemon-scarlet-violet:term:学校(がっこう) via entry/front exact,school,・約１０００年前・約２０００年前・約３０００年前４この**学校**は創立何年？,1206730
来る,くる,139,64,1,supported_exact,1,1,pokemon-scarlet-violet:term:来る(くる) via entry/front exact,"to come (spatially or temporally),to approach,to arrive,to come back,to do ... and come back,to come to be,to become,to get,to grow,to continue,to come from,to be caused by,to derive from,to come to (e.g. ""when it comes to spinach ..."")",あーあまた誰か**来ちゃった**よスター団の新人ってこんなにめんどいんだ…。,1547720
技,わざ,135,2665,1,supported_exact,1,1,pokemon-scarlet-violet:term:技(わざ) via entry/front exact,"technique,art,skill,move",がリーグに挑んでる間ポケモンの**技**の組み合わせ全パターン見なおさないと！,1225090
強い,つよい,121,239,2,supported_exact,1,1,pokemon-scarlet-violet:term:強い(つよい) via entry/front exact,"strong,potent,competent,domineering,tough,strong,brawny,powerful,healthy,rugged,good (at),skilled,knowledgeable,being able to handle,know how to deal (with),durable (against),resistant (to),resilient,firm,rigid,solid,intense,strong,fierce,high,dependable,trustworthy",スター団で一番**強い**ボスさトレーナーでいうトップチャンピオン的な？,1236070
行く,いく,115,55,0,supported_exact,1,1,pokemon-scarlet-violet:term:行く(いく) via entry/front exact,"to go,to move (towards),to head (towards),to leave (for),to move through,to travel across,to walk along (e.g. a road),to go (well, badly, etc.),to proceed,to turn out,to get along,to do (in a particular way),to go (with; a choice),to try,to pass (of time, seasons, etc.),to go by,to stream,to flow,to die,to pass away,to reach (a stage, extent, age, etc.),to get to,to go (so far as ...),to reach (of information, instructions, wind, etc.),to arrive,to continue ...,to go on ...,to (progress) steadily,to gradually ...,to progressively ...,to have an orgasm,to come,to cum,to trip,to get high,to have a drug-induced hallucination",灯台先に**行っててー**！,1578850
戦う,たたかう,111,798,0,supported_exact,1,1,pokemon-scarlet-violet:term:戦う(たたかう) via entry/front exact,"to make war (on),to wage war (against),to go to war (with),to fight (with),to do battle (against),to compete (against),to struggle (against adversities, etc.),to fight,to contend,to resist",すげーポケモンと**戦えるって**教えたら秒で来た学校では小うるさいだけだけどたよりになりそうだなおー？,1596960
持つ,もつ,105,108,1,supported_exact,1,2,duel-masters-dm25:term:持つ(もつ) via entry/front exact | pokemon-scarlet-violet:term:持つ(もつ) via entry/front exact,"to hold (in one's hand),to take,to carry,to possess,to have,to own,to maintain,to keep,to last,to be durable,to keep,to survive,to take charge of,to be in charge of,to hold (meeting, etc.),to have (opportunity, etc.),to have ""it"",to have that special something,to be blessed with good luck",ただでは帰さないオレのお気に入りも**持ってっとけ**言っとくけどオマエすっげーすっげームカつくかんな！,1315720
使う,つかう,99,152,0,supported_exact,1,1,pokemon-scarlet-violet:term:使う(つかう) via entry/front exact,"to use (a tool, method, etc.),to make use of,to put to use,to use (a person, animal, puppet, etc.),to employ,to handle,to manage,to manipulate,to use (time, money, etc.),to spend,to consume,to use (language),to speak",ポケモンが自分のタイプと同じ技を**使う**とその威力は１．５倍になります。,1305990
