Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions,ExampleSentence,JmDictWordId,SameSurfaceSupportedAs,SameReadingSupportedAs
団,だん,195,5793,1,"group,body,party,company,troupe,gang,corps,ring",……ウゼえスター**団**はアジトでアカデミーを襲う計画を立てているとか…。？,1956650,,
今,いま,127,52,1,"now,the present time,just now,soon,immediately,another,more",**今**では研究所が建っておりロマンもへったくれもないがね…。,1288850,,
見る,みる,126,42,1,"to see,to look,to watch,to view,to observe,to examine,to look over,to assess,to check,to judge,to look after,to attend to,to take care of,to keep an eye on,to experience,to meet with (misfortune, success, etc.),to try ...,to have a go at ...,to give ... a try,to see (that) ...,to find (that) ...",,1259290,,
前,まえ,110,74,1,"in front (of),before (e.g. a building),before,earlier,previously,prior,ago,(minutes) to (the hour),(the) front,frontal part,fore,head (e.g. of a line),forward,ahead,(in the) presence (of),in front (of someone),previous (e.g. page),prior (e.g. engagement),first (e.g. half),former (e.g. example),portion,helping,front (of one's body or clothing),breast (of a coat, kimono, etc.),privates,private parts,criminal record,previous conviction,(a) prior",・約１０００年**前**・約２０００年前・約３０００年前４この学校は創立何年？,1392580,,
言う,いう,108,25,0,"to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise",正直すぎてちょっとビックリ指名手配中のヤツほど違うって**言う**からね…。！,1587040,,
人,ひと,104,65,"0,2","person,someone,somebody,human beings,mankind,man,people,humans,human (Homo sapiens),(other) people,others,character,personality,nature,capable person,competent person,suitable person,right person,adult,grown-up,I,me,one",テーブルみたいに広いなあ学校にはいろんな**人**やいろんなポケモンがいるよ！,1580640,,
思う,おもう,88,32,2,"to think,to consider,to believe,to reckon,to think (of doing),to plan (to do),to judge,to assess,to regard,to imagine,to suppose,to dream,to expect,to look forward to,to feel,to be (in a state of mind),to desire,to want,to care (deeply) for,to yearn for,to worry about,to love,to recall,to remember",ここのジムリーダー強いから練習しといたほうがいいと**思う**よー！？,1589350,,
聞く,きく,86,62,0,"to hear,to listen (e.g. to music),to ask,to enquire,to query,to hear about,to hear of,to learn of,to follow (advice, order, etc.),to obey,to listen to,to comply with,to hear (e.g. a plea),to grant (a request),to accept (e.g. an argument),to give consideration to,to smell (esp. incense),to sample (a fragrance),to taste (alcohol),to try",どうしてもあんたに会って直接話がしたいそうだシュウメイ殿**聞いて**！,1591110,,
待つ,まつ,84,80,1,"to wait,to await,to look forward to,to anticipate,to depend on,to need",バトルコートで**待ってる**からー！,1410590,,
匹,ひき,83,3374,2,"counter for small animals,counter for rolls of cloth (two han in size),counter for horses,roll of cloth",壁画の中から出てきたのは剣と盾を持つ２**匹**のポケモン像！,1583370,,
違う,ちがう,76,111,2,"to differ (from),to be different,to be distinct,to be unlike,to vary,to disagree (with),to be wrong,to be incorrect,to be mistaken,to become abnormal,to go wrong,isn't it?,wasn't it?",ボックスはポケモンをあずけるもの生まれるとはちょっと**違います**かねえ？,1158880,,
食べる,たべる,76,197,2,"to eat,to live on (e.g. a salary),to live off,to subsist on",寝る前にお菓子**食べて**も怒られないんでしょ？,1358280,,
円,えん,75,975,"0,1","yen (currency of Japan),circle",２０００**円**で２００円のモンスターボールは１０個買うことができますが！,1175570,,
同じ,おなじ,64,130,0,"same,identical,equal,alike,equivalent,anyway,in any case,if one must ...,if one has to ...,as long as ...",ポケモンの性格人間と**同じ**でポケモンにも１匹１匹に性格があります。,1451750,,
本,ほん,59,503,1,"book,volume,script,this,present,current,... in question,... at issue,main,head,principal,real,genuine,regular,proper,counter for long, cylindrical things,counter for films, TV shows, etc.,counter for goals, home runs, etc.,counter for telephone calls",『オレンジアカデミー校歌』という**本**がある読んでみようか？,1522150,,
ＬＰ,エルピー,57,66615,3,"LP (record),long-playing record,long-play record,linear programming,line printer,laser printer,Liberal Party",……もう帰ってくれよこんなに続けてカチこまれてももう出せる**ＬＰ**ないから！,2039710,,
私,わたし,55,29,0,"I,me",オレはまだ燃えッカスになってねぇんだよ**私**こそがスター団のカシオペア！,1311110,,
個,こ,53,2175,1,"counter for (small) things or pieces,counter for military units,(an) individual,one person,counter for years (of age difference),counter for school-years",２０００円で２００円のモンスターボールは１０**個**買うことができますが！,1264740,,
今日,きょう,51,93,1,"today,this day,these days,recently,nowadays",**今日**はどこのサンドウィッチ屋さんで食べようかな？,1579110,,
年,ねん,51,210,1,"year,counter for years (e.g. of an era), grades (e.g. school),period of an apprentice's contract (usu. ten years)",・約１０００**年**前・約２０００年前・約３０００年前４この学校は創立何年？,2084840,,
少し,すこし,50,123,2,"a little,a bit,a small amount,a few,some,slightly,somewhat,a little while,a short time,a moment,a minute,a little way,a short distance",お待ちくださいさんのポケモンは**少し**お疲れのようですよごめーん！,1348870,,
大穴,おおあな,48,16557,0,"large hole,big deficit,heavy losses,long-shot win (in horse racing, etc.),big winnings (on a long shot),a killing (made from a bet)",一般人が入れないパルデアの**大穴**にはどんなポケモンがいるんじゃろう？,1643400,,
子,こ,45,213,0,"child,kid,teenager,youngster,young (non-adult) person,(one's) child,offspring,young woman,young (animal),offshoot,interest,new share,player who is not a dealer,young geisha,young prostitute,bird egg,-er (often of young women)",この**子**おくびょうだから力はあんまりだけど素早く動けるのよ！,1307770,,
感じる,かんじる,44,297,0,"to feel,to sense,to experience,to be moved (by),to be touched (by),to be impressed (by),to respond (to),to become infected with (an illness),to catch",タイプ相性突いてくるね勝ちへのこだわり**感じる**よ！,1212260,,
呼ぶ,よぶ,43,187,0,"to call out (to),to call,to invoke,to summon (a doctor, etc.),to invite,to designate,to name,to brand,to garner (support, etc.),to gather,to take as one's wife",お姉ちゃんもいるしわたしはやりたいようにやってるよーお父さまって**呼んで**んだ…。！？,1266440,,
読む,よむ,43,473,1,"to read,to recite (e.g. a sutra),to chant,to predict,to guess,to forecast,to read (someone's thoughts),to see (e.g. into someone's heart),to divine,to pronounce,to read (e.g. a kanji),to decipher,to read (a meter, graph, music, etc.),to tell (the time),to count,to estimate,to read (a kanji) with its native Japanese reading",,1456360,,
宝探し,たからさがし,42,24419,4,"treasure hunting,treasure hunt,lucky dip,game involving finding hidden prizes from a sand box, barrel of leaves, etc.",**宝探し**ってまだ続いてるのかなアカデミーは年齢制限なし！,2239300,,
話,はなし,40,95,3,"talk,speech,chat,conversation,topic,subject,discussions,negotiation,argument,rumor,talk,hearsay,tale,story,fable,circumstances,particulars",ゲート前で戦った団員だ話をしたくて来てもらった……**話**っていうのは？,1600900,,
話す,はなす,40,181,2,"to talk,to speak,to converse,to chat,to tell,to explain,to narrate,to mention,to describe,to discuss,to speak (a language)",……ちょっと**話したい**ことあるかもここじゃなんだしうるさくないとこ行こどどぞこれうちの部屋…。,1562350,,
何か,なにか,38,110,1,"something,some,any,somehow,for some reason,(so) what (are you trying to say)?,what (do you mean)?",マフィティフと同じでエリアゼロで**何か**に傷つけられたとか？,1188270,,
足りる,たりる,38,682,0,"to be sufficient,to be enough,to be worth doing,to be worthy of,to deserve,to do (the job),to serve,to answer",ＬＰが**足りない**ですね現金でも支払えますよは持ちきれないですよ大事に使ってくださいね必要なものほかございますか？,1404740,,
多い,おおい,38,330,"1,2","many,numerous,a lot,large amount of,large quantity of,a lot,much,frequent,common",自分の部屋より教室で勉強するほうがはかどるね夜だとゴーストタイプのポケモン**多くない**？,1407460,,
初めて,はじめて,37,254,2,"for the first time,only after ... is it ...,only when ... do you ...,not until ... do you ...,first time,(one's) first",未来から来てたってのはオレも**初めて**知った…。,1342550,,
